author,commit_count
Thiago Pradi,678
Robert Lord,342
Gabriel Sobrinho,70
Matthew Peveler,60
Charles Ray Shisler III,51
Bharat Ramnani,36
deploy.sh,30
Sandeep Maurya,29
Nick Marden,28
dependabot-preview[bot],23
